    Year  Relative Efficiency
0   2000             3.800651
1   2001             3.920780
2   2002             4.536513
3   2003             3.774739
4   2004             3.401687
5   2005             3.370268
6   2006             3.323662
7   2007             3.097281
8   2008             2.651261
9   2009             2.657835
10  2010             2.854270
11  2011             2.788995
12  2012             3.170508
13  2013             3.145168
14  2014             3.210476
15  2015             3.616763
16  2016             3.499217
17  2017             3.491733
18  2018             3.184416
19  2019             3.198134
20  2020             3.304942
21  2021             3.189384
22  2022             3.896668
