leto,prebivalstvo,javna_poraba_mrd_eur,inflacija,tecaj_usd_eur,javna_poraba_mrd_usd,zasebna_poraba_mrd_usd,javna_poraba_mrd_usd_adj,zasebna_poraba_mrd_usd_adj,javna_na_prebivalca_usd_adj,zasebna_na_prebivalca_usd_adj,javna_delez_bdp,zasebna_delez_bdp,delez_javne_porabe_adj,zdravniki_na_1000,zdravstveno_osebje_na_1000,pricakovana_zivljenjska_doba,infant_mortality_rate,malmquist_indeks,CRR_efficiency
2000,1990272,1.61,8.91,0.9242,1.0497,0.3816,1.0497,0.3816,527.5,191.8,5.4,1.9,73.3,2.6,7.9,75.4,4.4,,0.0
2001,1992035,1.72,8.38,0.8952,1.1675,0.4327,1.0771,0.3993,540.9,200.5,5.6,2.1,72.9,2.7,8.0,75.8,4.1,1.0000000000000002,0.0443111975414036
2002,1995718,1.83,7.48,0.9454,1.3098,0.5366,1.0323,0.4229,517.4,211.9,5.8,2.3,70.9,2.7,8.1,76.0,4.0,1.0000000000000002,0.0638482479092045
2003,1996773,1.94,5.54,1.131,1.7096,0.6766,1.2756,0.5048,639.1,252.9,6.0,2.3,71.6,2.8,8.1,76.9,3.9,0.9999999999999997,0.1352750052541048
2004,1997004,2.06,3.59,1.2438,2.0044,0.8546,1.4461,0.6165,724.4,308.8,6.2,2.5,70.1,2.8,8.2,77.2,3.8,0.9968050394271731,0.2146682347096095
2005,2001114,2.2,2.45,1.2441,2.1283,0.7913,1.5036,0.5588,751.4,279.2,6.4,2.2,72.9,2.9,8.3,77.6,3.6,0.9951887046698197,0.2664614546369759
2006,2008516,2.35,2.46,1.2556,2.2616,0.9039,1.5719,0.6286,782.3,312.8,6.6,2.3,71.4,3.0,8.4,78.1,3.3,1.001640762006426,0.3204002545132575
2007,2019406,2.5,3.66,1.3705,2.582,1.1013,1.7368,0.7407,860.2,366.8,6.8,2.3,70.1,3.0,8.5,78.6,2.8,1.0064039831745095,0.3957223835528708
2008,2022629,2.63,5.65,1.4712,3.2257,1.2219,2.0987,0.7949,1037.5,393.0,7.1,2.2,72.5,3.1,8.6,78.8,2.6,1.000000000000001,0.5302029538192253
2009,2042335,2.76,0.84,1.3948,3.1561,1.0995,2.0863,0.7269,1021.8,356.0,7.3,2.2,74.2,3.2,8.7,79.0,2.5,1.0000000000000007,0.5585048240494861
2010,2049261,2.85,1.8,1.3273,3.0351,1.196,1.9706,0.7767,961.5,378.9,7.4,2.5,71.7,3.3,8.8,79.4,2.5,0.9971378910442593,0.5622700620434283
2011,2052496,3.01,1.8,1.392,3.2354,1.1776,2.0822,0.7579,1014.5,369.3,7.5,2.3,73.3,3.4,8.9,80.0,2.5,0.992433189680215,0.6283671482968989
2012,2056262,3.15,2.6,1.2859,2.9244,1.1089,1.8561,0.7036,902.4,342.0,7.6,2.4,72.5,3.4,9.0,80.1,2.6,0.9882719093025214,0.5991610234149706
2013,2059114,3.23,1.77,1.3281,3.0206,1.2441,1.8901,0.7785,917.7,378.0,7.7,2.6,70.8,3.5,9.1,80.3,2.5,0.9997364404788297,0.6445175034955885
2014,2061623,3.27,0.2,1.3285,3.0227,1.2869,1.886,0.8032,914.8,389.6,7.8,2.6,70.1,3.5,9.2,81.1,2.4,1.006944631504776,0.6753876171833045
2015,2063077,3.31,-0.53,1.1095,2.6363,1.1104,1.6535,0.6961,801.4,337.4,7.8,2.6,70.4,3.6,9.3,80.8,2.3,1.0141980075518973,0.6499399589496976
2016,2064241,3.45,-0.06,1.1069,2.7592,1.1067,1.7269,0.6924,836.6,335.4,8.0,2.5,71.4,3.7,9.4,81.2,2.1,1.0013692454295127,0.7062443982568347
2017,2066161,3.56,1.43,1.1297,2.8728,1.2042,1.7513,0.7339,847.8,355.3,8.0,2.5,70.5,3.7,9.5,81.0,1.9,1.0001357099040376,0.7448716086829392
2018,2070050,3.81,1.74,1.181,3.2648,1.235,1.9708,0.7454,952.0,360.1,8.3,2.3,72.6,3.8,9.6,81.4,1.8,1.0000000000000007,0.8391363086247416
2019,2089310,4.12,1.63,1.1195,3.3616,1.2399,2.0049,0.7394,959.6,353.9,8.5,2.3,73.1,3.9,9.7,81.5,1.7,0.9999999999999994,0.8802566436780127
2020,2100126,4.43,-0.05,1.1413,3.7046,1.3338,2.0064,0.7223,955.4,343.9,9.4,2.5,73.5,4.0,9.8,80.5,1.6,0.9989395995928061,0.9148852240140516
2021,2107007,4.95,1.92,1.1839,4.3303,1.6009,2.215,0.8188,1051.1,388.6,9.5,2.6,73.0,4.0,9.9,80.7,1.6,0.9985648167806038,1.0
2022,2108732,5.46,8.83,1.0531,4.2689,1.4987,1.9271,0.6766,913.8,320.8,9.6,2.5,74.0,4.1,10.0,81.3,1.5,1.0025002976544828,0.9614037877204734
